dataSetname,fuzzyMeasure,dat,training,testing
phoneme,5,4,84.9178811010872,84.64384828862164
phoneme,5,5,84.32007400555041,82.68518518518519
phoneme,50,1,84.13139023826047,80.75855689176689
phoneme,50,2,84.89474901688642,81.313598519889
phoneme,50,3,83.48369188063845,82.23866790009251
phoneme,50,4,83.85380522785103,82.42368177613321
phoneme,50,5,82.28492136910268,80.55555555555556
pima,5,1,83.06188925081433,74.67532467532467
pima,5,2,85.34201954397395,74.67532467532467
pima,5,3,85.17915309446254,78.57142857142857
pima,5,4,85.52845528455285,73.85620915032679
pima,5,5,83.90243902439025,71.24183006535948
pima,50,1,84.85342019543974,74.67532467532467
pima,50,2,86.64495114006515,74.67532467532467
pima,50,3,85.83061889250814,77.92207792207792
pima,50,4,85.20325203252033,73.20261437908496
pima,50,5,83.73983739837398,73.20261437908496
ring,5,1,97.63513513513513,91.21621621621621
ring,5,2,96.62162162162163,91.21621621621621
ring,5,3,95.60810810810811,89.1891891891892
ring,5,4,96.62162162162163,88.51351351351352
ring,5,5,95.4391891891892,94.5945945945946
ring,50,1,96.45270270270271,85.8108108108108
ring,50,2,94.76351351351352,85.8108108108108
ring,50,3,94.25675675675676,90.54054054054055
ring,50,4,95.4391891891892,86.48648648648648
ring,50,5,94.93243243243244,90.54054054054055
saheart,5,1,85.36585365853658,72.04301075268818
saheart,5,2,84.82384823848238,70.96774193548387
saheart,5,3,86.48648648648648,66.30434782608695
saheart,5,4,84.05405405405405,67.3913043478261
saheart,5,5,84.86486486486487,71.73913043478261
saheart,50,1,84.28184281842819,66.66666666666667
saheart,50,2,84.55284552845528,68.81720430107526
saheart,50,3,84.5945945945946,65.21739130434783
saheart,50,4,85.94594594594595,67.3913043478261
saheart,50,5,83.51351351351352,71.73913043478261




























satimage,5,1,84.8249027237354,82.17054263565892
satimage,5,2,85.7976653696498,79.06976744186046
satimage,5,3,84.24124513618678,78.29457364341086
satimage,5,4,86.60194174757281,78.90625
satimage,5,5,85.24271844660194,78.90625
satimage,50,1,84.63035019455253,79.84496124031008
satimage,50,2,84.43579766536965,79.84496124031008
satimage,50,3,84.43579766536965,79.84496124031008
satimage,50,4,85.63106796116504,78.125
satimage,50,5,84.27184466019418,80.46875
