DataSet,Class1,Class2,F1,F2,L1,L2,L3
D31,18,25,114.50419874962228,0.10113465800167196,0.10255482211107875,0.0,0.0
D31,18,26,16.38398585926806,-0.0062283259816842025,0.33946720368744593,0.005,0.001
D31,18,27,28.17818661339231,0.03735917256161177,0.16059919879711873,0.0,0.0
D31,18,28,272.7506340009503,0.16676491417690598,0.08363183145529424,0.0,0.0
D31,18,29,132.13040688522184,0.060761188824203796,0.1135631483408431,0.0,0.0
D31,18,30,475.43153349437944,0.2487198008171103,0.06873714501432233,0.0,0.0
D31,18,31,434.9166614138942,-0.5098057755674257,0.055101759911518215,0.0,0.0
D31,19,20,387.57762962178816,0.13589028582186582,0.07754512885680444,0.0,0.0
D31,19,21,134.50446254400848,-0.10591996571095447,0.11015109684639002,0.0,0.0
D31,19,22,286.7001453915109,-0.030135104070773914,0.0767560548036143,0.0,0.0
D31,19,23,282.95143420346636,0.33719809549095314,0.061109933091293464,0.0,0.0
D31,19,24,224.41814057656737,0.34949446004444196,0.06182990568010187,0.0,0.0
D31,19,25,97.64354177139542,-0.06892333546314686,0.13161583665545804,0.0,0.0
D31,19,26,111.40760670893437,0.18283237476769337,0.09302102038749188,0.0,0.0
D31,19,27,112.04058386805777,0.027399675540824266,0.11818464420047756,0.0,0.0
D31,19,28,226.40793457114572,-0.3940111233202386,0.09011018940813287,0.0,0.0
D31,19,29,170.8160674387817,0.07302908288241484,0.09211026972885174,0.0,0.0
D31,19,30,37.36886898842622,-0.08249659069331203,0.19325484181785843,0.0,0.0
D31,19,31,67.31164774570398,0.0851898298887956,0.12596069987160988,0.0,0.0
D31,2,10,95.81401686247247,0.08528398379901819,0.10375555782172027,0.0,0.0
D31,2,11,25.756790463627457,-0.009387361479152955,0.18449351833418182,0.0,0.0
D31,2,12,62.49893225433559,-0.021459853361211964,0.14811252549867868,0.0,0.0
D31,2,13,4.630744584065444,0.08476249085610114,0.46699292591916214,0.045,0.0115
D31,2,14,8.177736050817728,0.04431927332055662,0.4504555591512554,0.015,0.0055
D31,2,15,57.70525871448924,-0.04624738868277824,0.17326318373023533,0.0,0.0
D31,2,16,72.04159861718963,-0.02948765320068226,0.1287156581681569,0.0,0.0
D31,2,17,30.745484042781104,-0.027520903016147683,0.180274526280598,0.0,0.0
D31,2,18,82.35125643842561,0.0981689980702966,0.11370187731633857,0.0,0.0
D31,2,19,32.17277621665511,-0.0013436167624126278,0.18644013159037243,0.0,0.0
D31,2,20,260.51394604417123,0.338639583825414,0.06026649439873976,0.0,0.0
D31,2,21,73.27484283176236,0.17363481670572534,0.08723285320217351,0.0,0.0
D31,2,22,189.71508538885743,-0.11372039042507219,0.10078835344789479,0.0,0.0
D31,2,23,192.2404924659911,0.16742177846179984,0.08354725895628669,0.0,0.0
D31,2,24,92.78207309144794,0.19140544181766384,0.0884069980143811,0.0,0.0
D31,2,25,31.923126087482558,0.02031701524747907,0.14849907789493205,0.0,0.0
D31,2,26,24.958562059240865,0.01464805069439146,0.18921612107544208,0.0,0.0
D31,2,27,24.183763399838544,-0.0978900229036038,0.2866218628060783,0.0,0.0
D31,2,28,140.21438245737917,0.18376404066772367,0.08340989978476027,0.0,0.0
D31,2,29,96.28761241106258,-0.16111985414954075,0.12774713412713817,0.0,0.0
D31,2,3,70.1283960807523,-0.19995223199112705,0.1597189651896769,0.0,0.0
D31,2,30,151.39660830136594,-0.20261503109756757,0.107043237880247,0.0,0.0
D31,2,31,131.01463847708735,0.11345455984506472,0.09971925276964858,0.0,0.0
D31,2,4,149.10464609689615,0.1799536126458252,0.0930567689446399,0.0,0.0
D31,2,5,112.6627008903546,0.19401454617303646,0.08929551655045909,0.0,0.0
D31,2,6,80.45214425238196,-0.22028192689145393,0.15119541506907835,0.0,0.0
D31,2,7,229.6542054550163,0.010344048703988473,0.0985122020446875,0.0,0.0
D31,2,8,43.23396156699659,-0.01851982870973755,0.15932688725189023,0.0,0.0
D31,2,9,195.31945270362212,-0.45434982725957773,0.08293429621437044,0.0,0.0
D31,20,21,35.829801354464585,-0.026826020286709766,0.1667132989264878,0.0,0.0
D31,20,22,65.1213337510993,-0.2551340417776089,0.177121173014566,0.0,0.0
D31,20,23,283.5409712463014,-0.43729480865907455,0.0688034129402008,0.0,0.0
D31,20,24,426.5288954377221,0.1439713263673565,0.07015146119973341,0.0,0.0
D31,20,25,486.71051495134316,0.45798425497409406,0.0472830400963869,0.0,0.0
D31,20,26,253.90467799303784,0.31297520816407043,0.05970703853237383,0.0,0.0
D31,20,27,277.8359585105193,0.41700805061648216,0.05091375678212124,0.0,0.0
D31,20,28,21.006893226097137,-0.002449556508230066,0.20085892059725566,0.0,0.0
D31,20,29,90.17402236132315,0.12628070806262304,0.10687065297975121,0.0,0.0
D31,20,30,310.1432048193934,-0.547279748283753,0.06588761692012167,0.0,0.0
D31,20,31,115.87136765592325,-0.40091359166139257,0.11249289541462716,0.0,0.0
D31,21,22,27.431515719220275,0.04087576401489897,0.16995606986790426,0.0,0.0
D31,21,23,212.10855197152284,0.09806951233900163,0.09534096580422481,0.0,0.0
D31,21,24,335.77271410399874,-0.4712339162013722,0.06772244255706304,0.0,0.0
