dataSetname,fuzzyMeasure,dat,training,testing
sonar,50,3,98.79518072289157,76.19047619047619
sonar,50,4,100.0,75.60975609756098
sonar,50,5,100.0,85.36585365853658
spectfheart,5,1,95.77464788732394,87.03703703703704
spectfheart,5,2,93.89671361502347,74.07407407407408
spectfheart,5,3,92.5233644859813,73.58490566037736
spectfheart,5,4,93.45794392523365,81.13207547169812
spectfheart,5,5,94.39252336448598,73.58490566037736
spectfheart,50,1,94.36619718309859,83.33333333333333
spectfheart,50,2,95.30516431924883,75.92592592592592
spectfheart,50,3,94.39252336448598,79.24528301886792
spectfheart,50,4,92.99065420560747,77.35849056603773
spectfheart,50,5,95.32710280373831,69.81132075471699
titanic,5,1,79.14772727272727,78.68480725623583
titanic,5,2,78.98921067575242,79.31818181818181
titanic,5,3,78.53492333901193,81.13636363636364
titanic,5,4,79.32992617830779,77.95454545454545
titanic,5,5,79.32992617830779,77.27272727272727
titanic,50,1,79.14772727272727,78.68480725623583
titanic,50,2,78.98921067575242,79.31818181818181
titanic,50,3,78.53492333901193,81.13636363636364
titanic,50,4,79.32992617830779,77.95454545454545
titanic,50,5,79.32992617830779,77.27272727272727
twonorm,5,1,95.94594594594595,77.70270270270271
twonorm,5,2,96.95945945945945,85.8108108108108
twonorm,5,3,95.60810810810811,84.45945945945945
twonorm,5,4,96.95945945945945,85.8108108108108
twonorm,5,5,97.12837837837837,88.51351351351352
twonorm,50,1,95.27027027027027,76.35135135135135
twonorm,50,2,95.77702702702703,83.10810810810811
twonorm,50,3,94.93243243243244,77.02702702702703
twonorm,50,4,95.60810810810811,79.05405405405405
twonorm,50,5,96.45270270270271,84.45945945945945
vehicle,5,1,81.36094674556213,68.82352941176471
vehicle,5,2,81.68389955686854,67.45562130177515
vehicle,5,3,78.13884785819793,69.23076923076923
vehicle,5,4,81.24076809453472,68.63905325443787
vehicle,5,5,82.7178729689808,68.04733727810651
vehicle,50,1,80.1775147928994,64.11764705882354
vehicle,50,2,80.79763663220089,64.49704142011835
vehicle,50,3,78.43426883308715,63.905325443786985
vehicle,50,4,80.79763663220089,72.7810650887574
vehicle,50,5,81.38847858197931,66.27218934911242
wine,5,1,100.0,91.66666666666667
wine,5,2,99.29577464788733,94.44444444444444
wine,5,3,100.0,100.0
wine,5,4,100.0,94.28571428571429
wine,5,5,100.0,88.57142857142857
wine,50,1,100.0,94.44444444444444
wine,50,2,99.29577464788733,94.44444444444444
wine,50,3,100.0,100.0
wine,50,4,100.0,94.28571428571429
wine,50,5,100.0,88.57142857142857
wisconsin,5,1,99.08424908424908,96.35036496350365
wisconsin,5,2,99.26739926739927,97.81021897810218
wisconsin,5,3,98.71794871794872,96.35036496350365
wisconsin,5,4,98.90310786106033,97.79411764705883
wisconsin,5,5,99.45155393053017,97.79411764705883
wisconsin,50,1,98.9010989010989,94.16058394160584
wisconsin,50,2,99.45054945054945,96.35036496350365
wisconsin,50,3,99.08424908424908,97.08029197080292
wisconsin,50,4,99.26873857404021,95.58823529411765
wisconsin,50,5,99.26873857404021,97.05882352941177
yeast,5,1,63.184498736310026,57.91245791245791
yeast,5,2,64.1112047177759,57.91245791245791
yeast,5,3,64.78517270429654,55.89225589225589
yeast,5,4,62.84751474304971,55.21885521885522
yeast,5,5,62.794612794612796,51.689189189189186
yeast,50,1,62.67902274641955,52.861952861952865
yeast,50,2,63.85846672283066,57.57575757575758
yeast,50,3,63.521482729570344,53.1986531986532
yeast,50,4,64.61668070766639,56.56565656565657
yeast,50,5,62.96296296296296,54.054054054054056
